Data,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2020-06-24,212,482,1691,3072,926,463,332,982,2847,2050,1293,913,1191,958,1699,470,1110,1145,1677,1654,1446,2624,9347,1886,1054,784,417
2020-06-25,282,496,503,2328,749,1069,327,835,2360,2548,1611,912,1114,853,891,728,858,1051,1030,1765,1426,2404,9765,1617,925,714,322
2020-06-26,340,247,953,2436,1098,1039,256,799,2131,2296,1773,2008,668,943,1066,827,851,1054,996,1406,6122,2600,9921,2455,1316,869,390
2020-06-27,269,239,802,2841,0,167,285,657,8822,2206,1417,1410,1285,642,522,1411,1147,886,861,0,2075,306,7073,1440,757,779,394
2020-06-28,145,84,627,1130,549,1263,262,791,3251,940,397,437,1018,493,203,1102,923,243,556,2031,1775,2495,6156,2139,364,882,220
2020-06-29,88,268,244,764,586,118,131,805,972,657,457,378,369,595,5265,396,584,416,692,1414,1123,585,3408,2166,1023,399,149
2020-06-30,107,239,930,1999,845,182,405,845,3840,474,1482,1900,382,669,566,594,1551,1282,1298,1796,1137,728,6235,2147,1374,550,289
2020-07-01,462,435,1461,2647,211,512,458,857,3178,4318,2805,1218,847,1637,1612,504,1348,1230,925,1928,2583,2667,8555,1458,1160,985,711
2020-07-02,333,226,1246,2214,508,2430,232,509,2864,2507,2769,1361,1414,1248,998,697,2079,1024,1296,1419,3123,1545,12244,1605,722,1106,386
2020-07-03,64,421,1007,2344,271,740,282,1076,2965,2517,2189,1229,1243,1069,524,1574,1862,1176,1686,1449,2644,2133,8523,1715,67,1127,326
2020-07-04,375,235,1408,2120,716,446,546,851,3171,2911,843,1541,1095,1185,836,1575,2404,1248,1670,1134,2607,1484,1828,1764,2164,1244,522
2020-07-05,135,74,69,1280,522,153,193,680,1563,512,657,422,1672,518,388,456,889,336,1038,570,2325,852,7649,2094,32,793,179
2020-07-06,66,121,410,724,442,26,165,634,1231,1013,537,423,513,432,339,501,1310,446,853,1154,1343,587,2891,2529,770,605,164
2020-07-07,253,290,2743,1617,643,140,364,955,3675,2475,1837,1651,509,1003,836,922,1539,1399,1520,2151,1271,2207,9638,2311,2012,910,434
2020-07-08,226,230,915,2592,503,196,436,798,3582,3519,851,1542,1453,897,691,850,1407,1757,1468,1839,3138,2243,8657,1620,1356,1429,376
2020-07-09,298,239,1236,1987,335,870,405,869,2783,2529,2384,1270,1163,1334,549,926,1709,877,1598,1472,2829,1995,8350,1363,1212,1429,608
2020-07-10,303,317,1189,1943,598,1066,664,768,2867,2546,1395,1504,1333,1524,1205,1297,2088,1056,1698,1347,3222,1119,9395,1620,1262,1132,590
2020-07-11,312,199,723,2260,496,629,430,674,3002,2399,1680,1303,1270,1196,351,1333,1285,1230,1920,880,3727,232,7780,1109,655,1240,708
2020-07-12,110,85,296,780,232,376,193,697,1575,840,554,363,1100,498,805,1585,1740,520,1005,563,2038,9,5107,2306,451,775,228
2020-07-13,70,188,886,795,322,402,175,966,1128,421,878,324,431,396,379,590,1045,416,784,1080,971,2360,2610,1572,452,381,264
2020-07-14,219,333,1229,2061,478,341,416,709,3138,2231,1637,1354,675,797,541,946,1781,1337,2235,1334,1821,778,12000,1370,1136,487,473
2020-07-15,193,523,1303,2264,389,713,308,859,2964,1811,1002,1477,1384,1289,313,972,1761,1246,1926,1139,3367,1627,6569,1725,1063,1040,697
2020-07-16,193,596,1081,2205,737,716,641,870,3380,2752,1657,1484,1131,1097,324,1087,2281,3105,1805,1766,2460,124,8872,2242,1306,792,699
2020-07-17,100,432,797,2125,463,610,282,519,2284,1938,1057,924,1332,515,325,662,1916,1366,1768,1343,2801,657,5367,1779,480,1860,475
2020-07-18,237,149,1712,1783,0,366,255,330,1581,606,909,624,1086,1511,2148,1184,2232,137,982,670,3604,0,4612,1763,114,-264,201
2020-07-19,93,120,379,537,0,94,564,495,1931,428,233,411,943,728,315,2171,1076,266,805,478,2097,3294,3022,1249,-26,1429,397
2020-07-20,167,440,476,912,684,219,125,229,1123,594,581,298,663,310,191,816,1280,336,1078,1094,1160,2481,1385,1875,3,1503,234
2020-07-21,238,260,775,1992,841,299,456,644,3552,1420,1248,1164,326,670,310,1051,1629,2391,2061,898,1434,4116,6235,1789,3022,1438,749
2020-07-22,279,255,557,1970,2293,969,496,729,6401,4122,1577,2128,941,1539,917,1030,2389,3233,3081,1087,3175,3502,16777,1725,3490,1695,1503
2020-07-23,178,178,1498,2109,1145,978,573,849,5113,3134,1757,2132,1858,1364,872,1257,2077,1768,2726,920,3827,2926,12561,2222,3174,1983,782
2020-07-24,236,188,1205,1785,793,942,542,1184,4409,2582,1195,1446,1802,1170,627,1735,2255,2166,2735,1246,4244,3330,11211,2391,2389,1451,632
2020-07-25,264,136,670,1671,700,520,955,1017,3632,2773,880,1173,1710,1040,243,1132,1334,2111,2316,744,3281,1414,16263,1773,1954,729,712
2020-07-26,88,58,369,540,237,435,847,646,1780,488,328,430,1714,655,173,339,1627,661,1397,602,2478,32,4501,2145,1113,396,499
2020-07-27,38,144,616,360,338,73,339,828,930,344,694,540,666,540,192,1009,781,265,1408,837,1147,1509,3672,2148,2071,1507,288
2020-07-28,349,333,1039,1362,701,414,745,938,4204,3121,1403,1482,546,967,1083,1397,1391,2303,3633,1427,2927,1805,0,2246,2652,1707,641
2020-07-29,234,276,975,1664,785,680,666,982,4021,3522,1706,1723,1858,1411,677,1205,1528,2149,3230,1105,2749,2008,26543,1616,3021,1772,968
2020-07-30,207,299,1047,1501,773,459,761,855,4296,2396,1568,1210,1837,1236,616,1470,2568,1977,3903,1316,4021,1995,14809,2100,1611,2130,876
2020-07-31,52,196,800,1335,585,561,546,746,4524,2414,1399,1686,1632,1279,749,1029,2624,219,3169,1407,3691,1853,13298,1850,2672,1418,649
2020-08-01,305,127,837,1368,512,707,522,1267,2772,2046,920,667,1741,981,1141,1011,1818,3764,2849,522,2879,1718,10014,1630,1546,925,803
2020-08-02,36,44,347,232,389,428,1088,1248,1550,652,372,547,1224,535,288,311,1675,584,1060,424,2816,12,6367,2106,628,573,264
2020-08-03,373,165,262,220,123,37,564,538,915,381,529,203,431,231,185,444,1260,439,907,977,942,839,1533,2016,137,1348,642
2020-08-04,369,195,883,1772,1223,6,666,573,3998,2380,1405,1549,432,1219,536,590,1853,2139,3268,994,1985,847,15371,1880,2979,1458,1033
2020-08-05,325,319,981,2418,781,1102,648,843,4348,2102,1572,1311,1488,0,924,917,2599,2945,3253,1033,3933,3768,9676,2042,3374,2337,637
2020-08-06,230,417,804,2127,705,633,1227,899,3953,1858,1606,796,1074,2657,616,858,1952,2274,3224,1301,3167,1385,13405,2034,3292,1335,786
2020-08-07,113,229,803,1937,665,611,819,823,4202,2108,1781,1250,1477,1290,611,884,1630,189,2948,1380,4495,1632,9709,1903,2910,2944,887
2020-08-08,122,175,571,2340,476,393,745,832,3509,2835,854,776,1241,1181,433,543,0,4569,3167,1223,3400,2828,13352,1921,1724,41,719
2020-08-09,89,69,522,543,144,454,560,865,1628,298,436,189,1021,411,140,422,1067,396,1186,645,3204,326,5395,1233,540,590,637
2020-08-10,32,191,247,509,362,62,626,624,1068,115,430,284,247,196,130,281,4158,43,993,1278,1148,1166,1289,3012,1380,1782,395
2020-08-11,138,237,908,1462,1096,557,758,698,4670,1893,1494,1453,601,966,2501,481,1819,3381,2594,1407,1476,2547,11147,1415,3775,1863,823
2020-08-12,236,165,815,2265,593,573,719,816,4253,1872,1205,1078,1393,1321,-1349,410,1842,2634,2879,1277,3934,3047,15619,1700,3048,1863,947
2020-08-13,249,214,882,1747,615,691,643,878,3935,1659,928,897,1467,1197,500,945,1882,2511,2631,1196,4430,2475,19274,1986,3475,1734,1050
2020-08-14,193,229,975,1983,612,627,994,603,4038,2063,1131,866,1567,933,395,415,2177,2582,3151,1157,3513,1806,11667,1996,2485,1611,875
2020-08-15,81,187,464,1402,364,500,1075,844,3386,1237,956,928,1364,1043,193,476,1927,2303,1818,659,3086,723,11408,1848,1704,492,1108
2020-08-16,32,87,671,959,185,226,511,658,1651,238,573,445,1185,440,60,296,1333,432,879,815,2888,3665,1963,1453,654,508,294
2020-08-17,57,185,351,406,395,42,867,204,1085,583,555,190,225,237,178,316,1275,130,786,1279,1313,372,3172,2268,1073,1240,589
2020-08-18,328,254,618,1715,691,518,989,763,3926,1056,1777,1274,605,911,409,386,1858,3210,2647,1015,2072,4829,8865,1435,3297,1368,968
2020-08-19,213,254,711,2141,798,318,987,439,3618,1943,1386,997,1429,1249,360,368,1659,2674,2537,1216,3371,3513,9847,1592,3291,1399,988
2020-08-20,176,392,743,2022,426,488,954,482,3937,1221,1289,951,1142,1364,471,435,2349,177,2222,947,3904,2923,9451,1997,2583,1457,820
2020-08-21,15,272,457,2393,367,202,1062,217,1147,577,1243,845,1072,697,53,343,2343,267,1277,874,3561,1120,5132,1693,1215,1401,510
2020-08-22,328,156,577,1998,481,336,991,631,4461,1588,770,680,596,974,202,407,2260,4504,1659,702,2884,3428,13284,1675,2479,804,1177
2020-08-23,54,89,246,645,426,203,757,387,1846,854,527,162,1113,389,189,220,1111,1034,484,279,3107,484,4885,1871,1134,315,610
2020-08-24,10,134,177,293,370,40,677,638,1158,123,495,171,217,266,67,134,1045,80,1041,601,1306,412,2351,1521,1905,1279,567
2020-08-25,207,299,787,2027,723,274,1127,399,3731,1822,1026,905,601,791,512,320,1533,2810,2157,698,2816,2643,9190,3171,3561,1745,1259
2020-08-26,183,428,833,1955,605,315,964,423,4082,1396,1755,1005,1120,1140,281,296,1704,3221,1870,718,3237,2672,10465,1563,2463,1432,1035
2020-08-27,150,304,671,1733,686,331,1194,438,2832,1945,1247,883,1069,1064,451,377,1833,2331,2078,753,3969,2523,8318,1610,2768,1775,902
2020-08-28,193,340,761,1577,400,307,1022,419,3124,1757,1221,707,999,873,326,440,2890,2424,2054,831,3523,0,11756,1317,1604,1656,891
2020-08-29,139,146,1015,1372,291,302,1071,309,3813,1610,751,728,1005,883,288,241,2003,3677,4712,532,3100,3759,5213,1346,1351,822,871
2020-08-30,37,121,201,925,183,171,722,154,1272,363,317,130,943,349,142,137,1636,66,460,326,2485,345,1982,1270,547,375,499
2020-08-31,9,301,236,385,474,48,321,167,665,496,403,117,445,140,99,111,1303,1331,30913,910,1507,329,938,1246,1643,1009,415
2020-09-01,193,321,623,1429,615,189,935,454,2691,1380,1066,827,1748,454,243,193,1668,1986,2697,718,2224,3169,10033,1456,2954,1510,883
2020-09-02,187,286,874,1451,643,329,495,292,2881,2063,1787,779,1437,1063,441,210,2035,3662,2048,846,3267,1532,11956,1151,2948,1446,825
2020-09-03,108,264,727,1533,207,298,814,247,3440,1276,1249,798,1475,797,423,251,2256,3149,1682,934,2939,1939,11647,1254,2008,1128,930
2020-09-04,114,390,667,1322,734,331,1075,306,2398,10433,1335,743,1031,1031,434,201,1915,2607,2392,941,3026,2218,7038,1297,4834,1550,831
2020-09-05,159,228,539,1573,513,310,1062,359,2040,-7926,792,605,731,876,404,248,1868,6268,1765,472,3865,258,8069,1405,2107,656,922
2020-09-06,35,88,85,774,201,162,438,255,1048,193,206,143,191,380,108,109,1426,429,667,333,2926,71,2637,1012,258,183,163
2020-09-07,26,93,94,621,171,116,393,69,738,73,260,33,268,276,9,106,779,38,449,288,1208,234,1608,1189,113,387,634
